ID,Sample_name,Sample_date,Species_num,Combination,Species_num_comb,Replicate,Original_name,Experiment
1,S1_C01_1,L1,1,C01,1_C01,1,0101L1,hungry
2,S1_C01_2,L1,1,C01,1_C01,2,0101L1,hungry
3,S1_C01_3,L1,1,C01,1_C01,3,0101L1,hungry
4,S1_C01_4,L1,1,C01,1_C01,4,0101L1,hungry
5,S1_C02_1,L1,1,C02,1_C02,1,0102L1,hungry
6,S1_C02_2,L1,1,C02,1_C02,2,0102L1,hungry
7,S1_C02_3,L1,1,C02,1_C02,3,0102L1,hungry
8,S1_C02_4,L1,1,C02,1_C02,4,0102L1,hungry
9,S1_C03_1,L1,1,C03,1_C03,1,0103L1,hungry
10,S1_C03_2,L1,1,C03,1_C03,2,0103L1,hungry
11,S1_C03_3,L1,1,C03,1_C03,3,0103L1,hungry
12,S1_C03_4,L1,1,C03,1_C03,4,0103L1,hungry
13,S1_C04_1,L1,1,C04,1_C04,1,0104L1,hungry
14,S1_C04_2,L1,1,C04,1_C04,2,0104L1,hungry
15,S1_C04_3,L1,1,C04,1_C04,3,0104L1,hungry
16,S1_C04_4,L1,1,C04,1_C04,4,0104L1,hungry
17,S1_C05_1,L1,1,C05,1_C05,1,0105L1,hungry
18,S1_C05_2,L1,1,C05,1_C05,2,0105L1,hungry
19,S1_C05_3,L1,1,C05,1_C05,3,0105L1,hungry
20,S1_C05_4,L1,1,C05,1_C05,4,0105L1,hungry
21,S1_C06_1,L1,1,C06,1_C06,1,0106L1,hungry
22,S1_C06_2,L1,1,C06,1_C06,2,0106L1,hungry
23,S1_C06_3,L1,1,C06,1_C06,3,0106L1,hungry
24,S1_C06_4,L1,1,C06,1_C06,4,0106L1,hungry
25,S1_C07_1,L1,1,C07,1_C07,1,0107L1,hungry
26,S1_C07_2,L1,1,C07,1_C07,2,0107L1,hungry
27,S1_C07_3,L1,1,C07,1_C07,3,0107L1,hungry
28,S1_C07_4,L1,1,C07,1_C07,4,0107L1,hungry
29,S1_C08_1,L1,1,C08,1_C08,1,0108L1,hungry
30,S1_C08_2,L1,1,C08,1_C08,2,0108L1,hungry
31,S1_C08_3,L1,1,C08,1_C08,3,0108L1,hungry
32,S1_C08_4,L1,1,C08,1_C08,4,0108L1,hungry
33,S1_C09_1,L1,1,C09,1_C09,1,0109L1,hungry
34,S1_C09_2,L1,1,C09,1_C09,2,0109L1,hungry
35,S1_C09_3,L1,1,C09,1_C09,3,0109L1,hungry
36,S1_C09_4,L1,1,C09,1_C09,4,0109L1,hungry
37,S1_C10_1,L1,1,C10,1_C10,1,0110L1,hungry
38,S1_C10_2,L1,1,C10,1_C10,2,0110L1,hungry
39,S1_C10_3,L1,1,C10,1_C10,3,0110L1,hungry
40,S1_C10_4,L1,1,C10,1_C10,4,0110L1,hungry
41,S1_C11_1,L1,1,C11,1_C11,1,0111L1,hungry
