No,Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,mean_4points_afterK,mean_9points_afterK,exponential_Y0,exponential_r,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate_linear,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r
1,0101L1,30.1,0.034555556,600.1,0.552555556,630.1,0.550222222,660.1,0.549694444,0.007016017,0.547905555,0.546844444,0.203110038,0.001997235,10,0.581222222,0.501203703,690.1,5670.1,-6.11E-05,-6.71E-05,5700.1,9930.1,-2.27E-05,0.379295775,0.015414795,0,0,0,2,21,0.542710167,3.861060045,-0.022194622
2,0101L1,30.1,0.033555556,540.1,0.564055556,570.1,0.565888889,600.1,0.561555556,0.007982772,0.561083333,0.557844444,0.18024759,0.002486511,18,0.5745,0.5685,660.1,5670.1,-5.94E-05,-6.27E-05,5700.1,9930.1,-2.31E-05,0.394049296,0.015601564,0,0,0,2,19,0.476131097,-0.118116952,-0.006527954
3,0101L1,30.1,0.040555556,510.1,0.5925,540.1,0.586055556,570.1,0.590888889,0.008060091,0.587444445,0.581655556,0.190902834,0.002570387,18,0.5925,0.588833333,630.1,5670.1,-6.24E-05,-6.35E-05,5700.1,9930.1,-2.11E-05,0.409760563,0.014197959,0,0,0,2,18,0.570244955,3.735674636,-0.022852952
4,0101L1,30.1,0.023555556,510.1,0.5725,540.1,0.573055556,570.1,0.576888889,0.009589868,0.574244445,0.569455556,0.174271825,0.002710786,17,0.579944444,0.569972222,660.1,5670.1,-6.07E-05,-6.30E-05,5700.1,9930.1,-2.25E-05,0.401056338,0.015333419,0,0,0,2,18,0.561351661,3.59488613,-0.020733591
5,0102L1,30.1,0.024555556,1020.1,0.522444444,1050.1,0.518027778,1080.1,0.514083333,0.004455713,0.514738889,0.506958333,0.087981515,0.001868101,34,0.531472222,0.522425926,1110.1,4110.1,-6.13E-05,-6.98E-05,4140.1,9930.1,-2.17E-05,0.383386598,0.019271542,0,0,0,2,35,0.78872035,2.485957536,-0.003228847
6,0102L1,180.1,0.070333333,1020.1,0.504444444,1050.1,0.497027778,1080.1,0.496083333,0.003383827,0.496538889,0.487258333,0.093733261,0.001734108,34,0.513472222,0.503759259,1110.1,4140.1,-5.20E-05,-6.14E-05,4170.1,9930.1,-2.15E-05,0.373285118,0.018913183,0,0,0,7,35,2.042192609,3.130738741,-0.002067939
7,0102L1,30.1,0.013555556,1020.1,0.487444444,1050.1,0.482027778,1080.1,0.480083333,0.005220486,0.480738889,0.472558333,0.075716617,0.001940433,34,0.495472222,0.487092592,1110.1,4140.1,-5.27E-05,-6.45E-05,4170.1,9930.1,-2.01E-05,0.359435377,0.017731157,0,0,0,2,35,0.788881239,2.606630708,-0.003139576
8,0102L1,30.1,0.019555556,1020.1,0.517444444,1050.1,0.513027778,1080.1,0.509083333,0.004773488,0.509538889,0.500258333,0.085221013,0.001858326,35,0.517444444,0.514981481,1110.1,4080.1,-5.52E-05,-6.35E-05,4110.1,9930.1,-2.39E-05,0.379519801,0.021094914,0,0,0,2,35,0.913929053,2.552298767,-0.002832657
9,0102K2,60.1,0.104611111,1200.1,1.134944444,1230.1,1.136833333,1260.1,1.140277778,0.003017117,1.139288889,1.145238889,0.351630147,0.001161851,86,1.181666667,1.176518519,2700.1,7320.1,-5.25E-05,-2.34E-05,10680.1,13230.1,-2.40E-05,0.98755814,0.011142974,1230.1,2700.1,3.99E-05,3,41,1.113091188,5.3849841,-0.01306366
10,0102K2,120.1,0.114722222,900.1,1.129888889,930.1,1.130333333,960.1,1.131277778,0.004230723,1.131844444,1.139777778,0.238576118,0.001976012,84,1.199444444,1.193907407,2610.1,8190.1,-4.66E-05,-2.07E-05,11460.1,13230.1,-2.24E-05,1.00999537,0.009279389,0,0,0,5,31,1.132525003,5.331459556,-0.012906927
