No,Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,mean_4points_afterK,mean_9points_afterK,exponential_Y0,exponential_r,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate_linear,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r
1,0101A1,270.1,0.027833333,600.1,0.949222222,630.1,0.946444444,660.1,0.949611111,0.01542988,0.942866667,0.9283,0.025321754,0.006342564,23,0.949611111,0.944814815,750.1,5100.1,-0.000122997,-8.22E-05,0,0,0,0,0,0,0,0,10,21,1.001757224,9.969827388,-0.022359821
2,0101A1,240.1,0.014277778,600.1,0.951222222,630.1,0.941444444,660.1,0.944611111,0.016827608,0.941266667,0.9269,0.022632848,0.006551985,20,0.953277778,0.942777778,750.1,1950.1,-0.000161469,-9.54E-05,3570.1,5760.1,-4.46E-05,0.613936937,0.015495334,0,0,0,9,21,1.006609116,10.26863746,-0.02297708
3,0101A1,240.1,0.011277778,690.1,0.919388889,720.1,0.913666667,750.1,0.911722222,0.014109157,0.911133333,0.894461111,0.062577672,0.00424877,21,0.934222222,0.924981481,750.1,1860.1,-0.000164802,-9.80E-05,3390.1,6660.1,-1.52E-05,0.671199495,0.008767867,0,0,0,9,24,0.593893104,0.79556765,-0.005031429
4,0101A1,240.1,0.013277778,630.1,0.918444444,660.1,0.920611111,690.1,0.911388889,0.015672069,0.912366667,0.896555556,0.036850344,0.00545159,21,0.923222222,0.917314815,750.1,4470.1,-0.000140217,-9.44E-05,4500.1,6660.1,7.18E-06,0.643286149,0.006755692,0,0,0,9,22,0.953568108,10.59287395,-0.024002167
5,0101F2,60.1,0.01564,540.1,1.05404,570.1,1.04268,600.1,1.02924,0.012655303,1.023312,0.997644,0.279134192,0.002867201,18,1.0616,1.057173333,540.1,9870.1,-0.000111204,-9.99E-05,9900.1,14970.1,-1.83E-05,0.402738353,0.014195072,0,0,0,3,19,1.04524837,5.313367072,-0.025270357
6,0101F2,60.1,0.02264,510.1,1.0676,540.1,1.05504,570.1,1.04768,0.012354119,1.041336,1.010168,0.269138656,0.003104856,18,1.0676,1.062506667,540.1,9960.1,-0.000113816,-0.000110281,9990.1,14970.1,-1.90E-05,0.36669509,0.014485208,0,0,0,3,18,1.050901851,4.941734133,-0.024147316
7,0101F2,60.1,0.01964,510.1,1.0506,540.1,1.05304,570.1,1.03568,0.012758388,1.031736,1.002068,0.259938842,0.003157358,19,1.05304,1.04644,540.1,8010.1,-0.000145665,-0.00013199,11010.1,14970.1,-1.68E-05,0.353747068,0.010279986,0,0,0,3,18,1.042342545,5.1496721,-0.024740219
8,0101F2,60.1,0.02264,480.1,1.04288,510.1,1.0406,540.1,1.04404,0.013156084,1.030288,0.996296,0.236863846,0.003520916,19,1.04404,1.033773333,540.1,10050.1,-0.00011816,-0.000133666,10080.1,14970.1,-1.35E-05,0.309296341,0.010677935,0,0,0,3,17,1.034801097,5.068716199,-0.024608809
9,0102A1,150.1,0.009888889,960.1,0.481555556,990.1,0.483222222,1020.1,0.486333333,0.006920679,0.486933333,0.49345,0.053232595,0.002537156,247,0.588388889,0.577148148,7530.1,8310.1,-6.45E-05,-5.66E-05,0,0,0,0,0,990.1,2880.1,3.48E-05,6,33,0.334965666,0.245529934,-0.002961438
10,0102A1,120.1,0.009166667,1050.1,0.549277778,1080.1,0.550277778,1110.1,0.553944444,0.006349457,0.553544444,0.559383333,0.077030898,0.002101847,239,0.673388889,0.669259259,7440.1,8310.1,-4.43E-05,-3.33E-05,0,0,0,0,0,1080.1,3360.1,5.01E-05,5,36,0.561727005,5.61766255,-0.010081646
