ID,Sample_name,Sample_date,Species_num,Combination,Species_num_comb,Replicate,Original_name,Experiment
1,S1_C01_1,A1,1,C01,1_C01,1,0101A1,normal
2,S1_C01_2,A1,1,C01,1_C01,2,0101A1,normal
3,S1_C01_3,A1,1,C01,1_C01,3,0101A1,normal
4,S1_C01_4,A1,1,C01,1_C01,4,0101A1,normal
5,S1_C01_1,F2,1,C01,1_C01,1,0101F2,normal
6,S1_C01_2,F2,1,C01,1_C01,2,0101F2,normal
7,S1_C01_3,F2,1,C01,1_C01,3,0101F2,normal
8,S1_C01_4,F2,1,C01,1_C01,4,0101F2,normal
9,S1_C02_1,A1,1,C02,1_C02,1,0102A1,normal
10,S1_C02_2,A1,1,C02,1_C02,2,0102A1,normal
11,S1_C02_3,A1,1,C02,1_C02,3,0102A1,normal
12,S1_C02_4,A1,1,C02,1_C02,4,0102A1,normal
13,S1_C02_1,F2,1,C02,1_C02,1,0102F2,normal
14,S1_C02_2,F2,1,C02,1_C02,2,0102F2,normal
15,S1_C02_3,F2,1,C02,1_C02,3,0102F2,normal
16,S1_C02_4,F2,1,C02,1_C02,4,0102F2,normal
17,S1_C03_1,A1,1,C03,1_C03,1,0103A1,normal
18,S1_C03_2,A1,1,C03,1_C03,2,0103A1,normal
19,S1_C03_3,A1,1,C03,1_C03,3,0103A1,normal
20,S1_C03_4,A1,1,C03,1_C03,4,0103A1,normal
21,S1_C04_1,A1,1,C04,1_C04,1,0104A1,normal
22,S1_C04_2,A1,1,C04,1_C04,2,0104A1,normal
23,S1_C04_3,A1,1,C04,1_C04,3,0104A1,normal
24,S1_C04_4,A1,1,C04,1_C04,4,0104A1,normal
25,S1_C05_1,A1,1,C05,1_C05,1,0105A1,normal
26,S1_C05_2,A1,1,C05,1_C05,2,0105A1,normal
27,S1_C05_3,A1,1,C05,1_C05,3,0105A1,normal
28,S1_C05_4,A1,1,C05,1_C05,4,0105A1,normal
29,S1_C06_1,A1,1,C06,1_C06,1,0106A1,normal
30,S1_C06_2,A1,1,C06,1_C06,2,0106A1,normal
31,S1_C06_3,A1,1,C06,1_C06,3,0106A1,normal
32,S1_C06_4,A1,1,C06,1_C06,4,0106A1,normal
33,S1_C07_1,A1,1,C07,1_C07,1,0107A1,normal
