Species_num_comb,1_Aeromonas_hydrophila_4AK4,2_Ralstonia_eutropha_H16,3_Escherichia_coli_DH5,4_Escherichia_coli_MG1655,5_Pseudomonas_stutzeri_1317,6_Pseudomonas_putida_KT2440,7_Proteus_vulgaris,8_Undibacterium_terreum,9_Glaciecola_lipolytica,10_Asticcacaulis_taihuensis,11_Novosphingobium_taihuense,12_Salmonella_Braenderup_serotype_H9812,13_Klebsiilla_pneumoniae,14_Vibrio_cholera,15_Acinetobacter_baumannii,16_Salmonella_Typhimurium_ATCC_14028
1_C01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1_C04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1_C05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1_C06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1_C07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1_C08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1_C09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1_C10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1_C11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1_C12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1_C13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1_C14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1_C15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1_C16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2_C02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2_C04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2_C05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2_C06,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2_C07,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2_C08,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2_C09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2_C10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2_C11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2_C12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2_C13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2_C14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2_C15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2_C16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4_C01,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4_C02,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
4_C03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
4_C04,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4_C05,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
4_C06,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
4_C07,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
4_C08,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
4_C09,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0
4_C10,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
4_C11,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
4_C12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
4_C13,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4_C14,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
4_C15,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4_C16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
8_C01,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1
8_C02,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1
8_C03,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
8_C04,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0
8_C05,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0
8_C06,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0
8_C07,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1
8_C08,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
8_C09,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
8_C10,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0
8_C11,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1
8_C12,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1
8_C13,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1
8_C14,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1
8_C15,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0
8_C16,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0
12_C01,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1
12_C02,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
12_C03,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
12_C04,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1
12_C05,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
12_C06,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
12_C07,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
12_C08,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
12_C09,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
12_C10,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
12_C11,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
12_C12,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0
12_C13,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1
12_C14,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1
12_C15,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
12_C16,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
16_C01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
