ID,Sample_name,Sample_date,Species_num,Combination,Species_num_comb,Replicate,Original_name,Experiment
1,S1_C01_1,C1,1,C01,1_C01,1,0101C1,salt
2,S1_C01_2,C1,1,C01,1_C01,2,0101C1,salt
3,S1_C01_3,C1,1,C01,1_C01,3,0101C1,salt
4,S1_C01_4,C1,1,C01,1_C01,4,0101C1,salt
5,S1_C02_1,C1,1,C02,1_C02,1,0102C1,salt
6,S1_C02_2,C1,1,C02,1_C02,2,0102C1,salt
7,S1_C02_3,C1,1,C02,1_C02,3,0102C1,salt
8,S1_C02_4,C1,1,C02,1_C02,4,0102C1,salt
9,S1_C03_1,C1,1,C03,1_C03,1,0103C1,salt
10,S1_C03_2,C1,1,C03,1_C03,2,0103C1,salt
11,S1_C03_3,C1,1,C03,1_C03,3,0103C1,salt
12,S1_C03_4,C1,1,C03,1_C03,4,0103C1,salt
13,S1_C04_1,C1,1,C04,1_C04,1,0104C1,salt
14,S1_C04_2,C1,1,C04,1_C04,2,0104C1,salt
15,S1_C04_3,C1,1,C04,1_C04,3,0104C1,salt
16,S1_C04_4,C1,1,C04,1_C04,4,0104C1,salt
17,S1_C05_1,C1,1,C05,1_C05,1,0105C1,salt
18,S1_C05_2,C1,1,C05,1_C05,2,0105C1,salt
19,S1_C05_3,C1,1,C05,1_C05,3,0105C1,salt
20,S1_C05_4,C1,1,C05,1_C05,4,0105C1,salt
21,S1_C06_1,C1,1,C06,1_C06,1,0106C1,salt
22,S1_C06_2,C1,1,C06,1_C06,2,0106C1,salt
23,S1_C06_3,C1,1,C06,1_C06,3,0106C1,salt
24,S1_C06_4,C1,1,C06,1_C06,4,0106C1,salt
25,S1_C07_1,C1,1,C07,1_C07,1,0107C1,salt
26,S1_C07_2,C1,1,C07,1_C07,2,0107C1,salt
27,S1_C07_3,C1,1,C07,1_C07,3,0107C1,salt
28,S1_C07_4,C1,1,C07,1_C07,4,0107C1,salt
29,S1_C08_1,C1,1,C08,1_C08,1,0108C1,salt
30,S1_C08_2,C1,1,C08,1_C08,2,0108C1,salt
31,S1_C08_3,C1,1,C08,1_C08,3,0108C1,salt
32,S1_C08_4,C1,1,C08,1_C08,4,0108C1,salt
33,S1_C09_1,C1,1,C09,1_C09,1,0109C1,salt
34,S1_C09_2,C1,1,C09,1_C09,2,0109C1,salt
35,S1_C09_3,C1,1,C09,1_C09,3,0109C1,salt
36,S1_C09_4,C1,1,C09,1_C09,4,0109C1,salt
37,S1_C10_1,C1,1,C10,1_C10,1,0110C1,salt
38,S1_C10_2,C1,1,C10,1_C10,2,0110C1,salt
39,S1_C10_3,C1,1,C10,1_C10,3,0110C1,salt
40,S1_C10_4,C1,1,C10,1_C10,4,0110C1,salt
41,S1_C11_1,C1,1,C11,1_C11,1,0111C1,salt
42,S1_C11_2,C1,1,C11,1_C11,2,0111C1,salt
43,S1_C11_3,C1,1,C11,1_C11,3,0111C1,salt
44,S1_C11_4,C1,1,C11,1_C11,4,0111C1,salt
45,S1_C12_1,C1,1,C12,1_C12,1,0112C1,salt
46,S1_C12_2,C1,1,C12,1_C12,2,0112C1,salt
47,S1_C12_3,C1,1,C12,1_C12,3,0112C1,salt
48,S1_C12_4,C1,1,C12,1_C12,4,0112C1,salt
49,S1_C13_1,C1,1,C13,1_C13,1,0113C1,salt
50,S1_C13_2,C1,1,C13,1_C13,2,0113C1,salt
51,S1_C13_3,C1,1,C13,1_C13,3,0113C1,salt
52,S1_C13_4,C1,1,C13,1_C13,4,0113C1,salt
53,S1_C13_1,K1,1,C13,1_C13,1,0113K1,salt
54,S1_C13_2,K1,1,C13,1_C13,2,0113K1,salt
55,S1_C13_3,K1,1,C13,1_C13,3,0113K1,salt
56,S1_C13_4,K1,1,C13,1_C13,4,0113K1,salt
57,S1_C14_1,C1,1,C14,1_C14,1,0114C1,salt
58,S1_C14_2,C1,1,C14,1_C14,2,0114C1,salt
59,S1_C14_3,C1,1,C14,1_C14,3,0114C1,salt
60,S1_C14_4,C1,1,C14,1_C14,4,0114C1,salt
61,S1_C14_1,K1,1,C14,1_C14,1,0114K1,salt
62,S1_C14_2,K1,1,C14,1_C14,2,0114K1,salt
63,S1_C14_3,K1,1,C14,1_C14,3,0114K1,salt
64,S1_C14_4,K1,1,C14,1_C14,4,0114K1,salt
65,S1_C15_1,C1,1,C15,1_C15,1,0115C1,salt
66,S1_C15_2,C1,1,C15,1_C15,2,0115C1,salt
67,S1_C15_3,C1,1,C15,1_C15,3,0115C1,salt
68,S1_C15_4,C1,1,C15,1_C15,4,0115C1,salt
69,S1_C15_1,D1,1,C15,1_C15,1,0115D1,salt
70,S1_C15_2,D1,1,C15,1_C15,2,0115D1,salt
71,S1_C15_3,D1,1,C15,1_C15,3,0115D1,salt
72,S1_C15_1,D2,1,C15,1_C15,1,0115D2,salt
73,S1_C15_2,D2,1,C15,1_C15,2,0115D2,salt
74,S1_C15_3,D2,1,C15,1_C15,3,0115D2,salt
75,S1_C15_1,K1,1,C15,1_C15,1,0115K1,salt
76,S1_C15_2,K1,1,C15,1_C15,2,0115K1,salt
77,S1_C15_3,K1,1,C15,1_C15,3,0115K1,salt
78,S1_C15_4,K1,1,C15,1_C15,4,0115K1,salt
79,S1_C16_1,C1,1,C16,1_C16,1,0116C1,salt
80,S1_C16_2,C1,1,C16,1_C16,2,0116C1,salt
81,S1_C16_3,C1,1,C16,1_C16,3,0116C1,salt
82,S1_C16_4,C1,1,C16,1_C16,4,0116C1,salt
83,S2_C01_1,G1,2,C01,2_C01,1,0201G1,salt
84,S2_C01_2,G1,2,C01,2_C01,2,0201G1,salt
85,S2_C01_3,G1,2,C01,2_C01,3,0201G1,salt
86,S2_C01_4,G1,2,C01,2_C01,4,0201G1,salt
87,S2_C02_1,G1,2,C02,2_C02,1,0202G1,salt
88,S2_C02_2,G1,2,C02,2_C02,2,0202G1,salt
89,S2_C02_3,G1,2,C02,2_C02,3,0202G1,salt
90,S2_C02_4,G1,2,C02,2_C02,4,0202G1,salt
91,S2_C03_1,G1,2,C03,2_C03,1,0203G1,salt
92,S2_C03_2,G1,2,C03,2_C03,2,0203G1,salt
93,S2_C03_3,G1,2,C03,2_C03,3,0203G1,salt
94,S2_C03_4,G1,2,C03,2_C03,4,0203G1,salt
95,S2_C04_1,G1,2,C04,2_C04,1,0204G1,salt
96,S2_C04_2,G1,2,C04,2_C04,2,0204G1,salt
97,S2_C04_3,G1,2,C04,2_C04,3,0204G1,salt
98,S2_C04_4,G1,2,C04,2_C04,4,0204G1,salt
99,S2_C05_1,G1,2,C05,2_C05,1,0205G1,salt
100,S2_C05_2,G1,2,C05,2_C05,2,0205G1,salt
101,S2_C05_3,G1,2,C05,2_C05,3,0205G1,salt
102,S2_C05_4,G1,2,C05,2_C05,4,0205G1,salt
103,S2_C06_1,G1,2,C06,2_C06,1,0206G1,salt
104,S2_C06_2,G1,2,C06,2_C06,2,0206G1,salt
105,S2_C06_3,G1,2,C06,2_C06,3,0206G1,salt
106,S2_C06_4,G1,2,C06,2_C06,4,0206G1,salt
107,S2_C07_1,G1,2,C07,2_C07,1,0207G1,salt
108,S2_C07_2,G1,2,C07,2_C07,2,0207G1,salt
109,S2_C07_3,G1,2,C07,2_C07,3,0207G1,salt
110,S2_C07_4,G1,2,C07,2_C07,4,0207G1,salt
111,S2_C08_1,G1,2,C08,2_C08,1,0208G1,salt
112,S2_C08_2,G1,2,C08,2_C08,2,0208G1,salt
113,S2_C08_3,G1,2,C08,2_C08,3,0208G1,salt
114,S2_C08_4,G1,2,C08,2_C08,4,0208G1,salt
115,S2_C09_1,G1,2,C09,2_C09,1,0209G1,salt
116,S2_C09_2,G1,2,C09,2_C09,2,0209G1,salt
117,S2_C09_3,G1,2,C09,2_C09,3,0209G1,salt
118,S2_C09_4,G1,2,C09,2_C09,4,0209G1,salt
119,S2_C10_1,G1,2,C10,2_C10,1,0210G1,salt
120,S2_C10_2,G1,2,C10,2_C10,2,0210G1,salt
121,S2_C10_3,G1,2,C10,2_C10,3,0210G1,salt
122,S2_C10_4,G1,2,C10,2_C10,4,0210G1,salt
123,S2_C11_1,G1,2,C11,2_C11,1,0211G1,salt
124,S2_C11_2,G1,2,C11,2_C11,2,0211G1,salt
125,S2_C11_3,G1,2,C11,2_C11,3,0211G1,salt
126,S2_C11_4,G1,2,C11,2_C11,4,0211G1,salt
127,S2_C12_1,G1,2,C12,2_C12,1,0212G1,salt
128,S2_C12_2,G1,2,C12,2_C12,2,0212G1,salt
129,S2_C12_3,G1,2,C12,2_C12,3,0212G1,salt
130,S2_C12_4,G1,2,C12,2_C12,4,0212G1,salt
131,S2_C13_1,G1,2,C13,2_C13,1,0213G1,salt
132,S2_C13_2,G1,2,C13,2_C13,2,0213G1,salt
133,S2_C13_3,G1,2,C13,2_C13,3,0213G1,salt
134,S2_C13_4,G1,2,C13,2_C13,4,0213G1,salt
135,S2_C14_1,G1,2,C14,2_C14,1,0214G1,salt
136,S2_C14_2,G1,2,C14,2_C14,2,0214G1,salt
137,S2_C14_3,G1,2,C14,2_C14,3,0214G1,salt
138,S2_C14_4,G1,2,C14,2_C14,4,0214G1,salt
139,S2_C15_1,G1,2,C15,2_C15,1,0215G1,salt
140,S2_C15_2,G1,2,C15,2_C15,2,0215G1,salt
141,S2_C15_3,G1,2,C15,2_C15,3,0215G1,salt
142,S2_C15_4,G1,2,C15,2_C15,4,0215G1,salt
143,S2_C16_1,G1,2,C16,2_C16,1,0216G1,salt
144,S2_C16_2,G1,2,C16,2_C16,2,0216G1,salt
145,S2_C16_3,G1,2,C16,2_C16,3,0216G1,salt
146,S2_C16_4,G1,2,C16,2_C16,4,0216G1,salt
147,S4_C01_1,J1,4,C01,4_C01,1,0401J1,salt
148,S4_C01_2,J1,4,C01,4_C01,2,0401J1,salt
149,S4_C01_3,J1,4,C01,4_C01,3,0401J1,salt
150,S4_C01_4,J1,4,C01,4_C01,4,0401J1,salt
151,S4_C02_1,J1,4,C02,4_C02,1,0402J1,salt
152,S4_C02_2,J1,4,C02,4_C02,2,0402J1,salt
153,S4_C02_3,J1,4,C02,4_C02,3,0402J1,salt
154,S4_C02_4,J1,4,C02,4_C02,4,0402J1,salt
155,S4_C03_1,J1,4,C03,4_C03,1,0403J1,salt
156,S4_C03_2,J1,4,C03,4_C03,2,0403J1,salt
157,S4_C03_3,J1,4,C03,4_C03,3,0403J1,salt
158,S4_C03_4,J1,4,C03,4_C03,4,0403J1,salt
159,S4_C04_1,J1,4,C04,4_C04,1,0404J1,salt
160,S4_C04_2,J1,4,C04,4_C04,2,0404J1,salt
161,S4_C04_3,J1,4,C04,4_C04,3,0404J1,salt
162,S4_C04_4,J1,4,C04,4_C04,4,0404J1,salt
163,S4_C05_1,J1,4,C05,4_C05,1,0405J1,salt
164,S4_C05_2,J1,4,C05,4_C05,2,0405J1,salt
165,S4_C05_3,J1,4,C05,4_C05,3,0405J1,salt
166,S4_C05_4,J1,4,C05,4_C05,4,0405J1,salt
167,S4_C06_1,J1,4,C06,4_C06,1,0406J1,salt
168,S4_C06_2,J1,4,C06,4_C06,2,0406J1,salt
169,S4_C06_3,J1,4,C06,4_C06,3,0406J1,salt
170,S4_C06_4,J1,4,C06,4_C06,4,0406J1,salt
171,S4_C07_1,J1,4,C07,4_C07,1,0407J1,salt
172,S4_C07_2,J1,4,C07,4_C07,2,0407J1,salt
173,S4_C07_3,J1,4,C07,4_C07,3,0407J1,salt
174,S4_C07_4,J1,4,C07,4_C07,4,0407J1,salt
