Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0101L1,90.1,0.080333333,210.1,0.354833333,240.1,0.433944444,270.1,0.581222222,0.371365889,0.035179026,0.011143152,2,21,0.542710167,3.861060045,-0.022194622,0.471277777,0.500927778,10,0.581222222,0.501203703,690.1,5670.1,-6.11E-05,5700.1,9930.1,-2.27E-05,0.379295775,0.015414795,0,0,0
0101L1,90.1,0.081333333,210.1,0.363833333,240.1,0.454944444,270.1,0.533222222,0.374534988,0.032644115,0.011616119,2,19,0.476131097,-0.118116952,-0.006527954,0.472277777,0.508027778,18,0.5745,0.5685,660.1,5670.1,-5.94E-05,5700.1,9930.1,-2.31E-05,0.394049296,0.015601564,0,0,0
0101L1,30.1,0.040555556,270.1,0.508222222,300.1,0.534444444,330.1,0.531944444,0.316030751,0.065601007,0.008174654,2,18,0.570244955,3.735674636,-0.022852952,0.534394444,0.558105555,18,0.5925,0.588833333,630.1,5670.1,-6.24E-05,5700.1,9930.1,-2.11E-05,0.409760563,0.014197959,0,0,0
0101L1,60.1,0.053777778,180.1,0.298333333,210.1,0.373833333,240.1,0.438944444,0.428337774,0.027845687,0.01325829,2,18,0.561351661,3.59488613,-0.020733591,0.434755555,0.487966666,17,0.579944444,0.569972222,660.1,5670.1,-6.07E-05,5700.1,9930.1,-2.25E-05,0.401056338,0.015333419,0,0,0
0102L1,180.1,0.101333333,630.1,0.278222222,660.1,0.303694444,690.1,0.330444444,0.06733365,0.110627448,0.001444875,2,35,0.78872035,2.485957536,-0.003228847,0.328561111,0.391291667,34,0.531472222,0.522425926,1110.1,4110.1,-6.13E-05,4140.1,9930.1,-2.17E-05,0.383386598,0.019271542,0,0,0
0102L1,180.1,0.070333333,660.1,0.272694444,690.1,0.297444444,720.1,0.321611111,0.08469413,0.104213103,0.001454654,7,35,2.042192609,3.130738741,-0.002067939,0.324066666,0.386475,34,0.513472222,0.503759259,1110.1,4140.1,-5.20E-05,4170.1,9930.1,-2.15E-05,0.373285118,0.018913183,0,0,0
0102L1,180.1,0.070333333,660.1,0.263694444,690.1,0.283444444,720.1,0.309611111,0.082596574,0.100508943,0.001455902,2,35,0.788881239,2.606630708,-0.003139576,0.310066666,0.371775,34,0.495472222,0.487092592,1110.1,4140.1,-5.27E-05,4170.1,9930.1,-2.01E-05,0.359435377,0.017731157,0,0,0
0102L1,180.1,0.099333333,630.1,0.259222222,660.1,0.277694444,690.1,0.298444444,0.063946967,0.120553814,0.001230038,2,35,0.913929053,2.552298767,-0.002832657,0.302161111,0.365791667,35,0.517444444,0.514981481,1110.1,4080.1,-5.52E-05,4110.1,9930.1,-2.39E-05,0.379519801,0.021094914,0,0,0
0102K2,330.1,0.2335,510.1,0.914222222,540.1,0.983111111,570.1,1.026277778,0.227481933,0.029440839,0.006850531,3,41,1.113091188,5.3849841,-0.01306366,1.003344444,1.039755556,86,1.181666667,1.176518519,2700.1,7320.1,-5.25E-05,10680.1,13230.1,-2.40E-05,0.98755814,0.011142974,540.1,2700.1,0.000109148
0102K2,300.1,0.187333333,480.1,0.805555556,510.1,0.893222222,540.1,0.967111111,0.243107102,0.022102825,0.007610302,5,31,1.132525003,5.331459556,-0.012906927,0.954233333,1.025111111,84,1.199444444,1.193907407,2610.1,8190.1,-4.66E-05,11460.1,13230.1,-2.24E-05,1.00999537,0.009279389,510.1,1710.1,0.000294677
0102K2,330.1,0.2305,480.1,0.734555556,510.1,0.829222222,540.1,0.909111111,0.231802954,0.017717368,0.007838478,4,43,0.726691918,0.919614668,-0.005700409,0.892633333,0.966611111,85,1.141222222,1.138444444,2640.1,10560.1,-4.08E-05,10590.1,13230.1,-2.21E-05,0.962401373,0.01117271,510.1,2640.1,0.00012921
0102K2,330.1,0.2255,480.1,0.703555556,510.1,0.784222222,540.1,0.864111111,0.227565337,0.016485101,0.007885305,4,27,1.089743664,4.873572777,-0.011227122,0.854433333,0.935911111,87,1.115666667,1.109537037,2670.1,7170.1,-4.81E-05,7200.1,13230.1,-2.68E-05,0.960824808,0.024377292,510.1,1920.1,0.000228656
