Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0101A1,330.1,0.078111111,570.1,0.945277778,600.1,0.949222222,630.1,0.946444444,0.311668315,0.018088897,0.007167985,10,21,1.001757224,9.969827388,-0.022359821,0.945788889,0.932677778,23,0.949611111,0.944814815,750.1,5100.1,-0.000122997,0,0,0,0,0,0,0,0
0101A1,330.1,0.067111111,540.1,0.923833333,570.1,0.953277778,600.1,0.951222222,0.374597437,0.007886841,0.008986773,9,21,1.006609116,10.26863746,-0.02297708,0.942877778,0.935705556,20,0.953277778,0.942777778,750.1,1950.1,-0.000161469,3570.1,5760.1,-4.46E-05,0.613936937,0.015495334,0,0,0
0101A1,330.1,0.061111111,570.1,0.916277778,600.1,0.934222222,630.1,0.924444444,0.338453234,0.014620331,0.007497533,9,24,0.593893104,0.79556765,-0.005031429,0.924988889,0.914677778,21,0.934222222,0.924981481,750.1,1860.1,-0.000164802,3390.1,6660.1,-1.52E-05,0.671199495,0.008767867,0,0,0
0101A1,330.1,0.071111111,570.1,0.910277778,600.1,0.923222222,630.1,0.918444444,0.318688276,0.018546949,0.007089968,9,22,0.953568108,10.59287395,-0.024002167,0.916788889,0.905977778,21,0.923222222,0.917314815,750.1,4470.1,-0.000140217,4500.1,6660.1,7.18E-06,0.643286149,0.006755692,0,0,0
0101F2,90.1,0.03772,300.1,0.9532,330.1,0.9928,360.1,1.00388,0.461376327,0.059862987,0.009573683,3,19,1.04524837,5.313367072,-0.025270357,0.99664,1.025092,18,1.0616,1.057173333,540.1,9870.1,-0.000111204,9900.1,14970.1,-1.83E-05,0.402738353,0.014195072,0,0,0
0101F2,90.1,0.05072,300.1,0.9662,330.1,0.9918,360.1,1.00388,0.42100722,0.072388147,0.008984684,3,18,1.050901851,4.941734133,-0.024147316,1.00284,1.030892,18,1.0676,1.062506667,540.1,9960.1,-0.000113816,9990.1,14970.1,-1.90E-05,0.36669509,0.014485208,0,0,0
0101F2,90.1,0.04272,300.1,0.9532,330.1,0.9898,360.1,1.00688,0.443593936,0.06460277,0.009318095,3,18,1.042342545,5.1496721,-0.024740219,0.99764,1.022692,19,1.05304,1.04644,540.1,8010.1,-0.000145665,11010.1,14970.1,-1.68E-05,0.353747068,0.010279986,0,0,0
0101F2,90.1,0.04472,300.1,0.9542,330.1,0.9848,360.1,0.99888,0.437207495,0.067474088,0.009172284,3,17,1.034801097,5.068716199,-0.024608809,0.99384,1.015692,19,1.04404,1.033773333,540.1,10050.1,-0.00011816,10080.1,14970.1,-1.35E-05,0.309296341,0.010677935,0,0,0
0102A1,450.1,0.150666667,630.1,0.324444444,660.1,0.370611111,690.1,0.401388889,0.127840737,0.017158928,0.004649542,6,33,0.334965666,0.245529934,-0.002961438,0.394966667,0.436255556,247,0.588388889,0.577148148,7530.1,8310.1,-6.45E-05,0,0,0,0,0,660.1,2880.1,6.18E-05
0102A1,450.1,0.153666667,630.1,0.381444444,660.1,0.426611111,690.1,0.461388889,0.15152991,0.012787228,0.005391091,5,36,0.561727005,5.61766255,-0.010081646,0.454766667,0.493855556,239,0.673388889,0.669259259,7440.1,8310.1,-4.43E-05,0,0,0,0,0,660.1,3360.1,7.49E-05
0102A1,420.1,0.1075,630.1,0.339444444,660.1,0.393611111,690.1,0.425388889,0.164259921,0.011747915,0.005338592,5,29,0.267557519,0.229615848,-0.003552578,0.418766667,0.464455556,239,0.655388889,0.643259259,7140.1,7470.1,-8.62E-05,0,0,0,0,0,660.1,3000.1,7.32E-05
0102A1,420.1,0.1125,630.1,0.317444444,660.1,0.359611111,690.1,0.387388889,0.1481928,0.015618363,0.004772436,6,33,0.332132286,0.234640609,-0.002844963,0.382166667,0.422355556,239,0.594388889,0.586592593,5790.1,6120.1,5.94E-06,6150.1,8010.1,6.14E-06,0.582417989,0.006422685,660.1,3030.1,7.02E-05
0102F2,270.1,0.10812,480.1,0.22588,510.1,0.2626,540.1,0.30704,0.105251738,0.041954809,0.003452508,5,29,0.47033129,3.739521601,-0.008119302,0.304488,0.362396,261,0.44548,0.441813333,900.1,2730.1,-4.33E-05,2760.1,14970.1,2.02E-06,0.422571961,0.014505705,0,0,0
0102F2,420.1,0.16848,510.1,0.2646,540.1,0.30404,570.1,0.33468,0.150467401,0.01932413,0.005129338,3,27,0.457568253,3.801842041,-0.008186197,0.330136,0.365968,233,0.4778,0.475653333,1290.1,2190.1,-3.11E-05,6000.1,14970.1,-4.73E-06,0.465195467,0.007312814,0,0,0
0102F2,300.1,0.1112,510.1,0.2756,540.1,0.31504,570.1,0.34368,0.129660022,0.030387331,0.004283635,2,25,0.260228081,0.146691589,-0.003909852,0.338736,0.369468,272,0.48948,0.487404444,1290.1,2070.1,-3.29E-05,6870.1,14970.1,-4.93E-06,0.477254514,0.00691998,0,0,0
