Sample,exp_start,exp_start_value,exp_end_1,exp_end_value_1,exp_end_2,exp_end_value_2,exp_end_3,exp_end_value_3,exponential_coef_simple,exponential_Y0,exponential_r,log_start_position,log_end_position,log_theoretical_K,log_b,log_theoretical_r,mean_4points_afterK,mean_9points_afterK,position_K,K,mean_window_K,decrease_start,decrease_end,decrease_rate,steady_start,steady_end,steady_rate,mean_steady,mean_steady_sd,rise_start,rise_end,rise_rate
0101C1,2130.1,0.223249158,2250.1,0.327265883,2280.1,0.357758264,2310.1,0.387771898,0.095621123,0.000253008,0.003184955,60,92,0.682765636,11.92537874,-0.005281826,0.387754366,0.455521873,92,0.6049375,0.602458333,2730.1,5370.1,-0.000175037,7590.1,14970.1,-6.45E-06,0.282104504,0.007786566,0,0,0
0101C1,2010.1,0.218466184,2130.1,0.330012408,2160.1,0.360727892,2190.1,0.390123607,0.103124754,0.000223304,0.003427521,60,85,0.727011346,11.57869809,-0.005348359,0.389855942,0.45883769,88,0.6166875,0.611541667,2670.1,4650.1,-0.000234274,7470.1,14970.1,-9.49E-06,0.31372759,0.010865323,0,0,0
0101C1,2040.1,0.209716497,2190.1,0.352085674,2220.1,0.383682869,2250.1,0.413960084,0.103623587,0.000193972,0.003428446,60,89,0.703226415,12.47579642,-0.005703067,0.414187854,0.480994875,92,0.6449375,0.639791667,2700.1,4500.1,-0.000267063,7470.1,14970.1,-7.19E-06,0.312448705,0.009177642,0,0,0
0101C1,1920.1,0.205620656,2070.1,0.345742807,2100.1,0.37864349,2130.1,0.411469271,0.103932435,0.000263575,0.003469073,59,85,0.698589461,12.63232001,-0.006105172,0.411019255,0.482133294,92,0.6409375,0.637791667,2640.1,4470.1,-0.000246731,7320.1,14970.1,-9.24E-06,0.352897095,0.010980502,0,0,0
0102C1,930.1,0.09034375,1170.1,0.94284375,1200.1,1.03790625,1230.1,1.0901875,0.293159842,9.65E-05,0.007914982,29,58,1.232254068,16.30526574,-0.014900116,1.06896875,1.119165625,57,1.3135,1.280229167,1650.1,4380.1,-0.000619735,6750.1,10200.1,-3.34E-05,0.392080819,0.017293669,0,0,0
0102C1,900.1,0.075875,1170.1,0.95784375,1200.1,1.04790625,1230.1,1.0961875,0.281733046,0.000124842,0.00771704,29,57,1.232489529,16.08771693,-0.014792905,1.07616875,1.131565625,56,1.260625,1.258197917,1650.1,4350.1,-0.000575769,13050.1,14070.1,1.39E-05,0.398608036,0.008013292,0,0,0
0102C1,960.1,0.0751875,1260.1,1.0175,1290.1,1.07140625,1320.1,1.11296875,0.260511892,0.000223931,0.006760747,30,59,1.209254223,16.66637719,-0.014495471,1.0901125,1.131865625,58,1.2505625,1.240020833,1710.1,4320.1,-0.0006521,9210.1,10110.1,3.28E-05,0.39836996,0.006145963,0,0,0
0102C1,3090.1,0.327663974,2970.1,0.259371648,3000.1,0.273542832,3030.1,0.289939333,0.058431662,0,0,71,114,152497.5944,15.89789834,-0.000885626,0.291591393,0.335213885,136,0.5123125,0.505447917,4020.1,5940.1,-5.37E-05,8580.1,12180.1,-4.57E-05,0.397246901,0.025351813,3000.1,4020.1,0.000388036
0103C1,270.1,0.0343125,1410.1,0.3429375,1440.1,0.36621875,1470.1,0.400755208,0.06057996,0.011668687,0.002372336,9,83,0.621641123,6.245051871,-0.00470384,0.399010272,0.465015237,194,0.66775,0.661083333,2070.1,4140.1,-9.91E-05,7950.1,14970.1,-1.60E-05,0.451399202,0.018015782,0,0,0
0103C1,1200.1,0.21390625,1410.1,0.3859375,1440.1,0.41221875,1470.1,0.446755208,0.084305372,0.007947732,0.002756137,11,65,0.342346036,0.305929214,-0.001534677,0.445249161,0.513250037,189,0.7613125,0.754447917,2160.1,3660.1,-9.41E-05,7860.1,14970.1,-1.11E-05,0.53554136,0.013119597,0,0,0
